product_id,title,description,attributes
1,Modern Blue Table Lamp,"Sleek contemporary table lamp with blue ceramic base and white fabric shade. Perfect for modern living rooms and bedrooms. Provides warm ambient lighting with energy-efficient LED bulb included. Height: 24 inches.",color:blue;type:lighting;room:bedroom
2,Ergonomic Office Chair Black,"Premium ergonomic office chair with lumbar support and adjustable height. Black mesh back with padded seat cushion. Perfect for long work sessions. Includes 5-year warranty.",color:black;type:furniture;room:office
3,Vintage Wooden Dining Table,"Rustic farmhouse style dining table made from reclaimed oak wood. Seats 6 people comfortably. Natural wood finish with visible grain patterns. Dimensions: 72x36x30 inches.",material:wood;type:furniture;room:dining
4,Cozy Reading Chair Grey,"Comfortable upholstered reading chair in soft grey fabric. Perfect for creating a cozy reading nook. Features wide armrests and plush cushioning. Matches well with modern and traditional decor.",color:grey;type:furniture;room:living
5,LED Floor Lamp Adjustable,"Modern LED floor lamp with adjustable brightness and color temperature. Touch controls and remote included. Perfect for task lighting or ambient mood lighting. Energy efficient with 50000 hour lifespan.",type:lighting;features:adjustable
6,Ceramic Coffee Mug Set,"Set of 4 handcrafted ceramic coffee mugs in earth tones. Each mug holds 12oz and is microwave and dishwasher safe. Perfect for morning coffee or evening tea. Comes in gift box.",material:ceramic;type:kitchenware;quantity:4
7,Minimalist Wall Mirror,"Large rectangular wall mirror with thin black metal frame. Modern minimalist design perfect for entryways hallways or bedrooms. Dimensions: 36x24 inches. Easy wall mounting hardware included.",color:black;type:decor;room:bedroom
8,Soft Throw Blanket Beige,"Ultra-soft fleece throw blanket in warm beige color. Perfect for snuggling on the couch or adding warmth to any room. Machine washable and wrinkle resistant. Size: 50x60 inches.",color:beige;material:fleece;type:textile
9,Bamboo Cutting Board Large,"Eco-friendly bamboo cutting board with juice groove and non-slip feet. Naturally antimicrobial and gentle on knives. Perfect for food prep and serving. Dimensions: 18x12x1 inches.",material:bamboo;type:kitchenware;features:antimicrobial
10,Industrial Pendant Light,"Industrial style pendant light with black metal shade and exposed Edison bulb. Perfect for kitchen islands dining areas or modern lofts. Adjustable cord length up to 72 inches.",style:industrial;type:lighting;color:black
11,Memory Foam Pillow,"Premium memory foam pillow with cooling gel layer. Provides excellent neck and head support for all sleeping positions. Hypoallergenic bamboo cover included. Standard size 20x26 inches.",material:memory_foam;type:bedding;features:cooling
12,Wooden Bookshelf 5-Tier,"Solid wood bookshelf with 5 adjustable shelves. Perfect for organizing books decorative items or storage boxes. Easy assembly with included hardware. Dimensions: 72x30x12 inches.",material:wood;type:furniture;shelves:5
13,Stainless Steel Water Bottle,"Double-wall insulated stainless steel water bottle keeps drinks cold for 24 hours or hot for 12 hours. BPA-free with leak-proof cap. Perfect for gym work or travel. 32oz capacity.",material:stainless_steel;capacity:32oz;features:insulated
14,Decorative Table Runner,"Elegant table runner with geometric pattern in navy blue and gold. Perfect for dining tables coffee tables or console tables. Machine washable polyester blend. Size: 72x13 inches.",pattern:geometric;color:navy;type:textile
15,Compact Desk Organizer,"Multi-compartment desk organizer made from sustainable bamboo. Perfect for pens pencils paper clips and small office supplies. Helps keep workspace tidy and organized. Dimensions: 12x8x4 inches.",material:bamboo;type:organization;room:office
16,Aromatherapy Candle Set,"Set of 3 soy wax aromatherapy candles in lavender vanilla and eucalyptus scents. Natural cotton wicks and essential oils. Burns for 40 hours each. Perfect for relaxation and stress relief.",type:candle;scents:lavender_vanilla_eucalyptus;quantity:3
17,Faux Leather Ottoman,"Versatile faux leather ottoman that serves as extra seating or footrest. Hidden storage compartment inside. Rich brown color complements most furniture styles. Dimensions: 24x16x16 inches.",material:faux_leather;color:brown;features:storage
18,Smart LED Light Bulb,"WiFi enabled smart LED bulb compatible with Alexa and Google Home. 16 million colors and adjustable brightness. Energy efficient and long lasting. Control via smartphone app.",type:lighting;features:smart_wifi;compatibility:alexa_google
19,Marble Cheese Board,"Elegant white marble cheese board with gold handles. Perfect for entertaining and serving appetizers. Natural stone variations make each piece unique. Dimensions: 16x10x0.75 inches.",material:marble;color:white;type:kitchenware
20,Velvet Accent Pillow,"Luxurious velvet accent pillow in deep emerald green. Perfect for adding color and texture to sofas beds or chairs. Hidden zipper and removable cover for easy cleaning. Size: 18x18 inches.",material:velvet;color:emerald;type:textile